CLASSIFICADOR,F1,PRECISAO,REVOGACAO,TESTE [s] ,TREINAMENTO [s]
"One-Class SVM: {'gamma': 'auto', 'kernel': 'linear', 'nu': 0.001}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.001994609832763672,0.002991914749145508
"One-Class SVM: {'gamma': 'auto', 'kernel': 'linear', 'nu': 0.01}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.006982326507568359,0.0019941329956054688
"One-Class SVM: {'gamma': 'auto', 'kernel': 'linear', 'nu': 0.1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0029916763305664062,0.001995086669921875
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 45, 'metric': 'cosine', 'n_neighbors': 15, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019943714141845703,0.002979278564453125
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 45, 'metric': 'cosine', 'n_neighbors': 10, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.006981849670410156,0.0019948482513427734
"One-Class SVM: {'gamma': 'auto', 'kernel': 'linear', 'nu': 0.5}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.005984306335449219,0.0009982585906982422
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 45, 'metric': 'correlation', 'n_neighbors': 20, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.007979154586791992,0.007978677749633789
"One-Class SVM: {'gamma': 0.5, 'kernel': 'linear', 'nu': 0.5}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0029931068420410156,0.001995086669921875
"One-Class SVM: {'gamma': 0.5, 'kernel': 'linear', 'nu': 0.1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009980201721191406,0.001994609832763672
"One-Class SVM: {'gamma': 0.5, 'kernel': 'linear', 'nu': 0.01}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009961128234863281,0.0019960403442382812
"One-Class SVM: {'gamma': 0.5, 'kernel': 'linear', 'nu': 0.001}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.000997304916381836,0.0019953250885009766
"One-Class SVM: {'gamma': 0.5, 'kernel': 'linear', 'nu': 0.0001}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.001995086669921875,0.001995086669921875
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 15, 'metric': 'cosine', 'n_neighbors': 20, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019936561584472656,0.001995563507080078
"One-Class SVM: {'gamma': 0.1, 'kernel': 'sigmoid', 'nu': 0.5}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009961128234863281,0.001995563507080078
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 15, 'metric': 'cosine', 'n_neighbors': 15, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.002991199493408203,0.002991914749145508
"One-Class SVM: {'gamma': 0.1, 'kernel': 'rbf', 'nu': 0.1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019960403442382812,0.003989458084106445
"One-Class SVM: {'gamma': 0.1, 'kernel': 'rbf', 'nu': 0.01}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.001994609832763672,0.0009975433349609375
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 15, 'metric': 'correlation', 'n_neighbors': 20, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0029916763305664062,0.0029926300048828125
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 15, 'metric': 'correlation', 'n_neighbors': 15, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019936561584472656,0.0019948482513427734
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 45, 'metric': 'correlation', 'n_neighbors': 15, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019941329956054688,0.005984306335449219
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 15, 'metric': 'cosine', 'n_neighbors': 10, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019941329956054688,0.002992391586303711
"One-Class SVM: {'gamma': 'scale', 'kernel': 'linear', 'nu': 0.01}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009963512420654297,0.002991914749145508
